Slug,Name,Town,Map
south-pond,South Pond,Savoy,https://www.mass.gov/files/documents/2016/08/qd/dfwsouth.pdf
south-watuppa-pond,South Watuppa Pond,Fall River,https://www.mass.gov/files/documents/2016/08/tm/dfwswatu_0.pdf
spectacle-pond,Spectacle Pond,Sandwich,https://www.mass.gov/files/documents/2019/01/04/Spectacle_sandwich.pdf
spectacle-pond,Spectacle Pond,Lancaster,https://www.mass.gov/files/documents/2016/08/qd/dfwspecl.pdf
spot-pond,Spot Pond,Stoneham,https://www.mass.gov/files/documents/2019/02/01/spotpond.pdf
spy-pond,Spy Pond,Arlington,https://www.mass.gov/files/documents/2016/08/wi/dfwspypo.pdf
stearns-pond,Stearns Pond,North Andover,https://www.mass.gov/files/documents/2016/08/tm/dfwstear.pdf
stetson-pond,Stetson Pond,Pembroke,https://www.mass.gov/files/documents/2016/08/np/dfwstets.pdf
stiles-pond,Stiles Pond,Boxford,https://www.mass.gov/files/documents/2019/02/14/stilespond.pdf
stockbridge-bowl,Stockbridge Bowl,Stockbridge,https://www.mass.gov/files/documents/2016/10/no/dfwstock.pdf
sudbury-reservoir,Sudbury Reservoir,Southborough,https://www.mass.gov/files/documents/2019/02/01/sudburyres.pdf
sugden-reservoir,Sugden Reservoir,Spencer,https://www.mass.gov/files/documents/2018/01/03/SugdenReservoir.pdf
the-oxbow-conecticut-river,The Oxbow Conecticut River,Northampton,https://www.mass.gov/files/documents/2018/02/01/Oxbow.pdf
thousand-acre-swamp,Thousand Acre Swamp,New Marlborough,https://www.mass.gov/files/documents/2016/08/uv/dfwthous.pdf
tisaquin-pond,Tisaquin Pond,Middleborough,https://www.mass.gov/files/documents/2016/08/sg/dfwtispa.pdf
tully-lake,Tully Lake,Royalston,https://www.mass.gov/files/documents/2016/08/qd/dfwtully.pdf
turner-pond,Turner Pond,New Bedford,https://www.mass.gov/files/documents/2016/08/tm/dfwturne.pdftarget=_blank
upper-mill-and-walker-ponds,Upper Mill and Walker Ponds,Brewster,https://www.mass.gov/files/documents/2016/08/qg/dfwwalku_0.pdf
upper-mystic-lake,Upper Mystic Lake,Medford,https://www.mass.gov/files/documents/2016/08/wi/dfwupper.pdf
upper-spectacle-pond,Upper Spectacle Pond,Sandisfield,https://www.mass.gov/files/documents/2016/08/qd/dfwuppes.pdf
wachusett-reservoir,Wachusett Reservoir,Boylston,https://www.mass.gov/files/documents/2016/08/np/dfwwachu.pdf
walden-pond,Walden Pond,Concord,https://www.mass.gov/files/documents/2018/12/03/Walden_Pond.pdf
walker-pond,Walker Pond,Sturbridge,https://www.mass.gov/doc/walker-pond-0/download
walkers-pond,Walkers Pond,Brewster,https://www.mass.gov/files/documents/2019/01/29/walkersbrewster.pdf
wallis-whitin-reservoir---------,Wallis Whitin Reservoir         ,Douglas,https://www.mass.gov/files/documents/2016/08/ql/dfwwalli.pdf
wallum-lake,Wallum Lake,Douglas,https://www.mass.gov/files/documents/2017/12/22/Wallum%20Lake.pdf
watershops-pond,Watershops Pond,Springfield,https://www.mass.gov/files/documents/2019/01/29/watershops.pdf
webster-lake-lake-chaubunagu,Webster Lake Lake Chaubunagu,Webster,https://www.mass.gov/files/documents/2019/02/20/webster_lake.pdf
wedge-pond,Wedge Pond,Winchester,https://www.mass.gov/files/documents/2016/08/xk/dfwwedge.pdf
wequaquet-lake,Wequaquet Lake,Barnstable,https://www.mass.gov/files/documents/2018/02/20/Wequaquet.pdf
west-lake,West Lake,Sandisfield,https://www.mass.gov/files/documents/2016/08/ux/dfwwestl.pdftarget=_blank
west-waushacum-pond,West Waushacum Pond,Sterling,https://www.mass.gov/files/documents/2018/01/03/WestWaushacum.pdf
whalom-pond,Whalom Pond,Lunenburg,https://www.mass.gov/files/documents/2017/10/17/dfwwhalo.pdf
white-island-pond,White Island Pond,Plymouth,https://www.mass.gov/files/documents/2019/02/04/whiteisland.pdf
white-pond,White Pond,Concord,https://www.mass.gov/files/documents/2019/01/04/white_concord.pdf
whitehall-pond,Whitehall Pond,Rutland,https://www.mass.gov/files/documents/2018/12/20/Whitehall_Pond_Rutland.pdf
whitehall-pond,Whitehall Pond,Hopkinton,https://www.mass.gov/files/documents/2018/12/20/Whitehall_Reservoir.pdf
whitney-pond,Whitney Pond,Winchendon,https://www.mass.gov/files/documents/2016/08/qe/dfwwhitn.pdf
wickaboag-pond,Wickaboag Pond,West Brookfield,https://www.mass.gov/files/documents/2016/08/uw/dfwwicka.pdf
windsor-lake,Windsor Lake,North Adams,https://www.mass.gov/files/documents/2019/02/14/windsornadams.pdf
windsor-pond,Windsor Pond,Windsor,https://www.mass.gov/files/documents/2019/02/04/windsorpond.pdf
winnecunnet-pond,Winnecunnet Pond,Norton,https://www.mass.gov/files/documents/2018/02/21/Winnecunnet.pdf
winthrop-lake,Winthrop Lake,Holliston,https://www.mass.gov/doc/lake-winthrop/download
woodman-pond,Woodman Pond,Brimfield,https://www.mass.gov/files/documents/2017/12/22/Woodman%20Pond.pdf
