Slug,Name,Town,Map
demond-pond,Demond Pond,Rutland,https://www.mass.gov/files/documents/2016/08/sl/dfwdemo.pdf
dennis-pond,Dennis Pond,Yarmouth,https://www.mass.gov/files/documents/2016/08/uv/dfwdenn.pdf
duck-pond,Duck Pond,Groton,https://www.mass.gov/files/documents/2016/08/xg/dfwduck.pdf
dug-pond,Dug Pond,Natick,https://www.mass.gov/files/documents/2019/01/29/dugpond.pdf
dunn-pond,Dunn Pond,Gardner,https://www.mass.gov/files/documents/2016/08/wh/dfwdunn_0.pdf
eames-pond,Eames Pond,Paxton,https://www.mass.gov/files/documents/2017/12/22/Eames%20pond.pdf
east-brimfield-reservoir,East Brimfield Reservoir,Sturbridge,https://www.mass.gov/files/documents/2016/08/qx/dfweast.pdf
east-waushacum-pond,East Waushacum Pond,Sterling,https://www.mass.gov/files/documents/2018/01/03/EastWaushacum.pdf
eddy-pond,Eddy Pond,Auburn,https://www.mass.gov/files/documents/2018/12/03/Eddy_Pond.pdf
ezekial-pond,Ezekial Pond,Plymouth,https://www.mass.gov/files/documents/2019/02/14/ezekiel.pdf
falls-pond,Falls Pond,North Attleborough,https://www.mass.gov/files/documents/2018/12/03/Falls_Pond.pdf
farm-pond,Farm Pond,Framingham,https://www.mass.gov/doc/farm-pond/download
fearing-pond,Fearing Pond,Plymouth,https://www.mass.gov/files/documents/2019/02/14/fearingpond.pdf
field-pond,Field Pond,Andover,https://www.mass.gov/files/documents/2019/02/20/fieldpond.pdf
fitchburg-reservoir,Fitchburg Reservoir,Ashby,https://www.mass.gov/files/documents/2019/02/20/fitchburgres.pdf
five-mile-pond,Five Mile Pond,Springfield,https://www.mass.gov/files/documents/2016/08/uh/dfwfive.pdf
fivemile-pond,Fivemile Pond,Plymouth,https://www.mass.gov/files/documents/2016/08/wh/dfwfive1.pdf
flax-pond,Flax Pond,Brewster,https://www.mass.gov/files/documents/2016/08/qd/dfwflax.pdf
flax-pond,Flax Pond,Lynn,https://www.mass.gov/files/documents/2016/08/oz/dfwflax2.pdf
flax-pond,Flax Pond,Bourne,https://www.mass.gov/files/documents/2016/08/no/dfwflax1.pdf
flint-pond,Flint Pond,Tyngsborough,https://www.mass.gov/files/documents/2016/08/qd/dfwflin.pdf
forest-lake,Forest Lake,Methuen,https://www.mass.gov/files/documents/2019/02/14/Forest_Lake.pdf
forest-lake,Forest Lake,Palmer,https://www.mass.gov/files/documents/2016/08/ux/dfwfore.pdf
forge-pond,Forge Pond,Westford,https://www.mass.gov/files/documents/2019/01/29/forgepond.pdf
forge-pond,Forge Pond,Granby,https://www.mass.gov/files/documents/2016/08/no/dfwforg1.pdf
fort-pond,Fort Pond,Lancaster,https://www.mass.gov/files/documents/2018/01/03/FortPond.pdf
fresh-pond,Fresh Pond,Plymouth,https://www.mass.gov/files/documents/2017/12/22/Fresh%20Pond%20Plymouth.pdf
furnace-pond,Furnace Pond,Pembroke,https://www.mass.gov/files/documents/2019/03/15/furnacepond.pdf
garretts-pond,Garretts Pond,Barnstable,https://www.mass.gov/files/documents/2016/08/qd/dfwgarr.pdf
glen-charlie-pond,Glen Charlie Pond,Wareham,https://www.mass.gov/doc/glen-charlie-pond-0/download
goose-pond,Goose Pond,Chatham,https://www.mass.gov/files/documents/2016/08/tm/dfwgoos.pdf
goose-pond,Goose Pond,Lee,https://www.mass.gov/files/documents/2017/12/22/Goose%20Pond.pdf
great-herring-pond,Great Herring Pond,Plymouth,https://www.mass.gov/files/documents/2018/02/05/great_herring_0.pdf
great-pond,Great Pond,Truro,https://www.mass.gov/files/documents/2016/08/rl/dfwgret.pdf
greenwater-pond,Greenwater Pond,Becket,https://www.mass.gov/files/documents/2018/01/18/Greenwater%20Pond.pdf
grews-pond,Grews Pond,Falmouth,https://www.mass.gov/files/documents/2016/08/wi/dfwgrew.pdf
gull-pond,Gull Pond,Wellfleet,https://www.mass.gov/files/documents/2016/08/qy/dfwgull.pdf
halfway-pond,Halfway Pond,Plymouth,https://www.mass.gov/files/documents/2019/02/14/halfwaypond.pdf
hallockville-pond,Hallockville Pond,Plainfield,https://www.mass.gov/files/documents/2019/02/20/hallockvillepond.pdf
